iter	Logloss
0	0.6145774397
1	0.5519421788
2	0.4993512784
3	0.459602091
4	0.4233314573
5	0.3928821934
6	0.3708130388
7	0.3497954094
8	0.3359100594
9	0.3193071519
10	0.3086061185
11	0.2960195744
12	0.2876588213
13	0.2826710838
14	0.2751277185
15	0.2710516313
16	0.2631451303
17	0.2567376408
18	0.2530549843
19	0.2462636949
20	0.2441086208
21	0.2378872818
22	0.2346128095
23	0.2314765944
24	0.2285761767
25	0.2259972115
26	0.2235323978
27	0.2202557374
28	0.2174228617
29	0.2139015243
30	0.2109796583
31	0.2089660621
32	0.2068341597
33	0.2039407671
34	0.2019224244
35	0.1983457085
36	0.1957659584
37	0.1934233398
38	0.1920702896
39	0.1903063476
40	0.1892603181
41	0.1870725125
42	0.1853411322
43	0.1836664522
44	0.1827891786
45	0.181071211
46	0.1793683918
47	0.1765997707
48	0.1750976616
49	0.1732833265
50	0.1708652094
51	0.1692823518
52	0.1668968267
53	0.1644807461
54	0.1619968432
55	0.1614179054
56	0.159898869
57	0.1586331859
58	0.1573418077
59	0.1552072278
60	0.1542836512
61	0.1523180546
62	0.1503382071
63	0.149609215
64	0.1487016978
65	0.1464467582
66	0.1458311763
67	0.1437439182
68	0.1419590439
69	0.1401436976
70	0.1394071799
71	0.138082044
72	0.1370143814
73	0.1355342348
74	0.1334252788
75	0.1327593697
76	0.1322519702
77	0.1308567434
78	0.1286859955
79	0.1279544901
80	0.1268848011
81	0.1251891467
82	0.1238090847
83	0.1219006119
84	0.1201446696
85	0.1195149255
86	0.1181321636
87	0.1162915467
88	0.1153980159
89	0.1138967157
90	0.1115427581
91	0.1104058953
92	0.109835519
93	0.1089662599
94	0.107667431
95	0.1070824847
96	0.1065131522
97	0.1055666848
98	0.1038223348
99	0.1027447717
