iter	Passed	Remaining
0	122	12169
1	129	6324
2	133	4318
3	138	3323
4	143	2718
5	147	2318
6	152	2019
7	156	1804
8	160	1621
9	163	1471
10	166	1349
11	170	1248
12	173	1159
13	176	1081
14	179	1015
15	182	956
16	186	908
17	189	865
18	193	826
19	198	792
20	201	758
21	206	730
22	209	702
23	213	675
24	216	648
25	219	625
26	223	603
27	226	583
28	230	563
29	233	545
30	237	528
31	240	511
32	244	496
33	247	481
34	251	467
35	254	452
36	257	437
37	259	423
38	262	409
39	265	398
40	268	386
41	270	373
42	272	361
43	274	349
44	276	338
45	279	327
46	282	318
47	285	308
48	287	298
49	289	289
50	291	280
51	294	271
52	297	263
53	300	256
54	303	248
55	305	240
56	307	232
57	310	224
58	312	216
59	315	210
60	319	204
61	323	197
62	325	191
63	328	184
64	331	178
65	334	172
66	338	166
67	341	160
68	344	154
69	348	149
70	351	143
71	353	137
72	356	131
73	359	126
74	362	120
75	366	115
76	369	110
77	372	105
78	375	99
79	380	95
80	383	90
81	386	84
82	389	79
83	392	74
84	396	70
85	399	64
86	401	60
87	404	55
88	406	50
89	410	45
90	413	40
91	416	36
92	418	31
93	420	26
94	422	22
95	425	17
96	428	13
97	430	8
98	433	4
99	435	0
